,location,age,gender,decisions,meaningful,personal_identity,Feeling_good,knowledge,expensive, not_available,uncertainty,preference,intention,purchased
180,North America,22-39,Female,3,3,3,3,1,2,1,1,3,3,1
181,Asia,22-39,Male,4,4,4,4,2,2,1,2,3,3,1
182,North America,22-39,Female,4,4,4,4,4,2,1,1,4,3,2
183,Asia,52-70,Female,3,4,3,3,4,4,4,3,3,4,2
184,North America,22-39,Male,3,3,3,3,1,3,3,3,2,1,1
185,North America,22-39,Female,3,3,3,3,1,3,1,3,0,0,2
186,South America,52-70,Female,3,3,3,3,3,2,2,2,2,2,2
187,North America,22-39,Female,1,3,1,1,1,2,2,1,2,2,1
188,North America,52-70,Female,0,0,0,0,0,4,0,4,0,0,0
189,North America,39-52,Female,3,3,3,3,3,4,1,3,3,3,2
190,North America,22-39,Female,2,1,1,2,1,3,2,2,1,1,1
191,North America,39-52,Female,3,3,3,2,2,3,1,3,3,3,2
192,North America,22-39,Female,3,3,3,3,1,3,2,2,2,1,1
193,North America,Under 22,Female,2,3,3,4,2,1,2,3,4,2,2
194,North America,22-39,Female,3,4,3,3,2,3,3,1,3,3,2
195,North America,22-39,Male,3,4,4,4,3,4,4,3,2,3,1
196,North America,Under 22,Female,3,4,3,3,0,2,2,4,3,3,1
197,North America,52-70,Female,1,3,1,1,0,2,2,1,0,0,0
198,North America,22-39,Female,4,3,3,4,0,2,2,3,3,2,1
199,North America,22-39,Female,0,4,2,3,4,4,4,3,3,4,2
200,North America,22-39,Female,2,3,2,0,0,2,2,3,2,0,1
201,North America,39-52,Female,3,4,3,2,2,3,3,3,2,2,1
202,Asia,22-39,Male,2,3,2,3,1,3,2,4,3,2,1
203,North America,Under 22,Female,3,3,3,3,2,2,2,2,2,2,1
204,North America,22-39,Female,3,2,4,4,2,2,2,2,2,2,1
205,North America,52-70,Female,2,3,2,3,2,3,2,2,2,2,1
206,North America,22-39,Female,4,4,4,3,0,3,2,1,3,0,1
207,North America,22-39,Female,4,4,4,2,4,4,3,4,3,2,1
208,North America,22-39,Female,3,4,4,3,3,3,2,2,2,2,2
209,North America,22-39,Female,4,3,4,3,1,2,2,3,1,0,1
210,North America,Under 22,Female,4,4,3,2,1,4,2,4,3,2,1
211,Asia,22-39,Male,3,2,3,4,2,2,4,3,4,2,2
212,Asia,22-39,Male,3,3,3,3,3,1,3,3,3,2,2
213,North America,22-39,Female,2,2,2,2,2,2,2,2,2,2,2
214,North America,22-39,Female,3,3,3,3,2,3,3,1,3,3,2
215,North America,22-39,Female,2,3,3,3,0,3,2,4,3,0,1
216,North America,22-39,Female,2,3,2,3,0,2,2,2,0,0,1
217,North America,Under 22,Female,2,3,3,4,1,2,2,4,0,0,2
218,North America,Under 22,Female,3,4,3,3,1,3,1,4,3,3,2
219,North America,39-52,Female,3,3,2,2,2,2,2,2,2,2,2
220,North America,22-39,Female,4,4,2,3,2,3,4,3,4,4,2
221,North America,Under 22,Female,4,4,4,2,0,2,3,4,3,0,1
222,North America,52-70,Prefer not to say,4,4,4,3,1,4,3,4,3,2,1
223,North America,52-70,Female,3,3,4,3,1,3,1,3,2,1,1
224,Asia,22-39,Female,2,2,2,2,1,2,2,3,2,1,1
225,North America,52-70,Female,3,2,3,3,2,2,3,2,3,2,2
226,North America,39-52,Female,1,3,1,2,0,3,3,3,2,0,1
227,North America,39-52,Female,4,4,4,4,2,4,2,4,3,2,2
228,North America,22-39,Female,1,2,1,2,1,3,1,4,3,1,2
229,North America,22-39,Female,3,3,3,3,1,3,3,3,2,1,2
230,North America,22-39,Female,3,3,2,3,3,3,3,2,2,2,1
231,North America,Under 22,Female,3,2,2,2,1,2,2,4,3,0,2
232,North America,39-52,Female,3,3,4,3,0,4,1,4,3,0,1
233,North America,22-39,Female,3,4,4,4,0,2,2,4,3,2,1
234,North America,39-52,Male,3,4,4,4,3,2,1,3,4,3,1
235,North America,Under 22,Female,2,2,2,3,1,0,2,3,3,1,2
236,North America,Under 22,Female,2,2,2,2,1,1,1,1,2,2,2
237,North America,22-39,Female,0,3,1,0,0,3,4,3,0,0,1
238,North America,22-39,Female,3,3,4,2,1,1,1,1,0,0,1
239,North America,22-39,Female,1,3,2,1,2,3,2,1,2,3,2
240,North America,22-39,Female,2,3,2,2,1,4,3,4,2,1,1
241,North America,39-52,Female,3,3,2,2,0,4,4,4,2,2,1
242,North America,Under 22,Female,4,3,4,4,2,3,1,3,4,3,2
243,North America,Under 22,Male,3,3,2,2,1,3,1,3,2,1,2
244,Asia,22-39,Female,4,4,4,4,4,2,4,4,4,4,2
245,North America,22-39,Female,2,3,3,2,0,2,2,4,0,0,1
246,North America,22-39,Female,3,3,3,2,1,3,3,2,3,1,1
247,North America,22-39,Female,1,3,3,3,1,3,1,3,3,1,2
248,Africa,22-39,Female,3,3,3,3,3,2,2,2,3,3,2
249,North America,22-39,Female,3,4,3,2,3,3,1,4,2,2,2
250,North America,52-70,Female,3,3,2,3,0,3,4,3,2,2,0
251,North America,Under 22,Prefer not to say,0,3,1,0,0,4,2,2,0,0,0
252,North America,Under 22,Female,4,4,4,4,4,1,1,1,4,4,2
253,North America,22-39,Female,4,4,3,4,4,2,1,3,3,3,2
254,North America,22-39,Female,2,3,2,2,1,3,1,3,3,2,1
255,North America,Under 22,Female,3,3,3,3,0,2,2,3,2,2,1
256,North America,52-70,Female,3,3,3,3,1,2,2,3,2,2,1
257,North America,52-70,Female,2,2,2,2,0,3,3,3,0,1,1
258,North America,22-39,Female,2,2,2,2,2,2,2,2,2,2,2
259,North America,Under 22,Female,3,3,2,3,2,4,3,3,1,3,2
260,North America,Under 22,Female,2,3,3,2,1,3,1,3,2,2,1
261,North America,22-39,Female,3,3,3,3,0,4,4,3,3,3,1
262,North America,22-39,Female,1,3,1,0,0,3,0,3,0,0,1
263,North America,22-39,Female,3,3,3,3,1,3,1,3,2,2,1
264,North America,39-52,Female,3,3,3,3,2,2,1,2,3,3,2
265,North America,22-39,Female,2,2,2,2,1,2,2,2,2,2,1
266,North America,22-39,Female,4,4,4,4,3,4,4,4,4,4,2
267,North America,Under 22,Female,3,3,1,0,0,2,2,4,0,0,1
268,Asia,Under 22,Female,4,3,4,4,1,0,3,0,3,2,2
269,North America,22-39,Female,1,2,0,2,0,2,0,3,0,0,1
270,North America,22-39,Female,2,3,3,3,0,1,3,3,0,0,1
